so-20332321-1-1,gh-0-6-64-87,123,114,16,1
so-29790350-5-1,gh-0-1-41-59,88,93,29,13
so-3066778-0-1,gh-0-1-53-100,148,184,84,53
so-8463467-3-1,gh-2-1-53-118,280,247,62,10
so-27437742-0-1,gh-0-14-486-508,133,128,8,0
so-2892067-0-1,gh-1-1-185-212,87,102,90,48
so-13928498-2-1,gh-0-2-309-320,85,83,24,8
so-21710251-0-1,gh-3-1-16-33,84,82,23,2
so-21306599-0-2,gh-0-1-159-194,187,183,13,3
so-10854955-0-1,gh-0-1-115-133,70,73,45,22
so-35984721-1-3,gh-2-8-80-101,99,106,49,20
so-27848998-30-1,gh-1-1-396-448,271,298,38,28
so-6163701-9-4,gh-6-1-361-372,121,111,42,14
so-21238020-0-1,gh-0-1-75-98,77,77,55,18
so-7102548-0-1,gh-1-1-73-139,312,298,68,14
so-23048039-0-1,gh-21-1-77-96,93,89,78,27
so-12376519-1-1,gh-0-2-727-760,111,123,12,12
so-29004578-2-1,gh-12-1-31-65,131,129,41,16
so-19492424-0-1,gh-0-1-179-205,107,110,54,24
