14,89,13,18
19,88,11,30
21,87,23,1
35,132,397,0
16,104,14,55
58,208,5,12
19,114,1,0
43,143,0,81
30,143,12,18
16,88,75,0
28,142,12,53
27,150,21,31
34,175,30,32
113,412,1,221
11,90,2,0
36,169,14,26
18,131,3,17
88,162,13,1
26,102,18,3
19,88,15,6
50,754,8,163
21,95,36,20
49,141,4,73
76,266,91,40
62,585,21,57
19,122,6,36
16,80,30,17
31,150,100,39
23,102,5,30
28,202,26,26
21,122,6,123
11,108,18,1
13,88,14,0
110,475,2,118
11,87,5,0
33,149,12,42
21,96,16,71
56,199,0,33
23,111,68,5
119,390,49,81
21,83,25,1
12,90,13,27
115,404,0,206
25,125,212,18
82,317,8,140
17,96,92,15
42,161,18,1
17,99,23,84
28,102,3,0
24,103,33,3
18,111,73,11
36,163,3,30
39,193,18,22
112,481,1,114
15,97,29,18
32,149,1,75
16,84,1,26
47,195,20,32
15,87,103,5
19,122,52,141
25,148,71,53
27,144,2,59
20,98,29,16
23,165,23,48
32,160,71,37
72,264,17,13
21,131,4,10
40,226,38,54
25,107,15,39
29,132,248,28
23,149,44,9
37,157,1,34
13,129,3,85
18,99,12,1
15,113,119,33
53,152,12,15
75,322,2,167
31,121,1,0
22,103,8,7
19,91,12,34
21,115,22,43
12,69,2,22
25,207,18,92
103,735,63,260
68,165,31,22
17,57,31,19
19,113,2,19
19,88,6,0
15,110,174,22
20,136,4,91
27,102,1,12
54,199,15,9
13,110,3,36
22,116,40,31
22,123,44,9
32,110,22,8
25,118,13,1
40,200,2,116
37,181,3,5
17,90,6,1
20,103,20,22
14,131,276,61
20,118,9,10
22,111,9,47
15,136,18,61
25,101,14,26
25,131,114,8
43,184,69,90
23,125,16,25
19,104,14,0
15,88,3,0
29,110,5,74
50,195,19,0
35,122,6,0
28,130,12,15
35,145,1,28
26,112,61,6
49,236,10,49
43,154,23,18
29,279,3,0
37,166,0,53
21,132,18,67
30,103,768,13
30,129,3,22
15,85,49,47
34,354,7,101
26,128,0,68
22,93,53,25
21,96,46,12
48,243,2,35
31,146,1,56
22,117,1,3
16,106,715,22
17,111,42,0
19,96,18,13
18,125,0,2
41,210,116,67
17,113,22,2
19,105,9,29
65,283,9,50
110,243,5,0
14,90,23,33
28,115,28,12
14,101,40,18
29,188,10,8
29,149,830,0
24,107,10,4
29,117,9,0
16,208,3,98
9,87,0,1
21,116,6,19
36,150,6,38
297,746,0,271
19,125,9,25
39,210,12,0
14,112,31,51
14,90,53,1
16,135,3,35
25,93,8,1
68,238,22,24
20,92,0,22
23,87,110,19
26,116,30,40
52,198,20,13
25,143,11,12
24,143,4,9
52,249,2,60
53,200,9,70
14,84,63,20
50,182,37,52
27,202,276,98
23,119,346,30
12,143,10,31
25,115,5,13
40,223,31,57
88,297,2,148
34,164,111,0
46,223,15,8
18,117,20,46
16,134,4,38
261,1364,3,266
48,117,0,0
36,203,276,94
38,159,26,8
41,126,479,20
21,111,489,47
13,84,4,4
14,125,16,13
35,110,70,25
43,174,119,25
20,101,21,15
27,136,48,18
28,141,5,2
66,372,17,28
20,91,10,95
11,111,18,58
75,272,0,44
21,72,123,35
10,119,-1,41
22,130,31,0
49,313,23,39
22,110,24,0
37,135,3,0
59,263,1,24
50,191,19,5
31,122,17,1
16,97,6,0
15,77,10,45
29,123,2,24
19,111,95,21
29,129,8,6
29,121,-1,49
10,107,-1,55
38,144,52,16
27,189,33,13
75,281,134,25
26,122,3,1
10,80,0,4
23,39,1,59
29,143,12,18
42,135,46,15
49,183,1,35
85,402,15,16
38,166,52,59
28,141,94,3
35,149,13,11
45,162,30,23
50,221,24,3
16,96,0,7
26,125,24,25
19,118,4,6
25,115,23,14
15,66,38,3
31,133,248,29
22,111,73,46
28,207,26,0
70,178,3,9
26,134,27,9
49,180,2,27
100,290,27,49
162,459,1,113
17,102,3,49
27,91,75,12
28,166,1,138
43,124,12,27
22,143,80,1
39,171,5,37
42,147,25,44
43,170,52,45
17,109,30,21
19,105,92,18
24,108,123,35
24,134,72,63
94,460,53,119
59,306,1,0
