so-7898685-0-1,gh-3-1-70-108,138,165,52,34
so-10235381-3-1,gh-6-1-71-101,113,125,51,28
so-10235381-3-1,gh-5-1-63-96,113,121,15,11
so-10235381-3-1,gh-7-1-65-99,113,121,9,8
so-10235381-3-1,gh-3-5-63-96,113,115,3,2
so-3495908-0-6,gh-11-2-157-175,120,119,3,1
so-16562265-0-2,gh-0-1-466-488,115,115,14,0
so-28510031-1-2,gh-7-1-18-66,191,191,5,0
so-30050134-4-1,gh-74-1-97-167,263,282,24,20
so-5646121-5-2,gh-1-2-24-40,104,104,0,0
so-33320829-1-1,gh-7-1-18-66,199,191,33,6
so-8058442-0-1,gh-0-1-306-321,112,112,8,0
so-1201102-0-3,gh-22-1-67-92,116,100,34,7
so-15000857-3-1,gh-0-1-62-100,210,210,0,0
so-938657-1-6,gh-10-1-123-138,106,92,22,2
so-10621553-2-1,gh-2-2-24-36,85,85,0,0
so-25806229-2-1,gh-0-2-37-60,149,148,9,4
so-1499540-0-1,gh-0-1-332-392,240,249,17,9
so-25379180-0-2,gh-2-1-127-152,103,112,12,10
so-11189384-12-1,gh-1-1-361-377,97,97,0,0
so-6193434-3-1,gh-0-1-89-122,139,137,35,15
so-6193434-3-1,gh-4-1-75-114,139,155,23,16
so-11307864-0-1,gh-1-1-45-71,219,211,45,12
so-2864923-0-3,gh-22-1-1825-1847,126,149,24,23
so-13375811-3-2,gh-17-1-13-35,88,70,59,16
so-13375811-3-2,gh-16-3-62-81,88,90,2,2
so-23365536-15-3,gh-1-1-161-248,162,162,2,0
so-23365536-15-3,gh-0-1-153-235,162,162,0,0
so-2951641-0-1,gh-2-1-18-43,115,130,15,15
so-2951641-0-1,gh-1-1-27-52,115,126,11,11
so-29946540-11-3,gh-1-2-193-216,99,130,40,33
so-19965362-0-1,gh-6-1-76-114,106,85,28,2
so-14612564-0-1,gh-1-1-54-82,145,147,22,11
so-31629308-2-1,gh-0-1-1045-1066,95,114,20,19
so-30641030-0-1,gh-0-1-39-69,112,131,40,22
so-21986475-0-1,gh-2-3-15-66,198,191,10,1
so-21986475-0-1,gh-3-1-29-79,198,184,21,0
so-21986475-0-1,gh-1-7-299-350,198,190,8,0
so-39141846-3-1,gh-2-1-62-368,746,733,271,129
so-12320716-4-1,gh-2-1-22-38,95,95,0,0
so-14824200-0-1,gh-12-1-1825-1847,139,149,30,15
so-10048884-0-1,gh-0-1-159-227,178,171,9,0
so-4761689-0-3,gh-0-1-200-325,390,305,136,20
so-4761689-0-3,gh-2-1-334-433,390,417,68,41
so-4761689-0-3,gh-1-2-19-159,390,416,41,32
so-26892658-2-1,gh-1-1-77-110,129,147,33,25
so-26892658-2-1,gh-0-1-85-112,129,118,12,0
so-5560634-0-5,gh-3-1-55-87,207,208,9,1
so-5560634-0-5,gh-1-1-135-174,207,215,21,9
so-5560634-0-5,gh-5-1-10-41,207,208,9,1
so-18966430-0-1,gh-5-2-157-175,124,119,75,27
so-18046750-0-2,gh-11-2-157-175,118,119,6,3
so-14983747-2-1,gh-1-2-83-153,96,150,74,63
so-29446830-1-1,gh-70-1-64-76,109,114,26,9
so-29446830-1-1,gh-69-1-50-62,109,114,16,9
so-22589715-3-1,gh-1-1-170-195,121,111,50,15
so-22589715-3-1,gh-2-1-181-206,121,129,49,23
so-25462286-15-1,gh-2-2-31-43,92,92,11,0
so-25462286-15-1,gh-1-11-121-134,92,98,6,6
so-16800527-1-2,gh-2-1-216-259,135,141,10,7
so-16800527-1-2,gh-0-2-20-49,135,121,21,2
so-13986063-4-3,gh-0-1-55-91,140,143,9,4
so-672775-4-1,gh-0-1-145-201,236,260,49,32
so-14230668-13-1,gh-23-1-24-42,88,88,0,0
so-22445878-1-1,gh-4-1-54-66,96,96,8,2
so-22445878-1-1,gh-3-1-39-52,96,95,23,6
so-10600736-0-7,gh-35-1-268-284,111,96,79,25
so-10600736-0-7,gh-29-1-18-43,111,126,15,15
so-14885950-0-1,gh-9-1-119-160,139,167,44,33
so-21940193-2-1,gh-0-2-216-242,95,87,15,1
so-31694986-3-1,gh-0-1-40-59,130,130,0,0
so-7592883-1-1,gh-0-1-81-97,95,97,45,16
so-18004334-7-1,gh-4-1-181-206,115,120,12,6
so-5402769-0-1,gh-3-1-37-69,165,165,0,0
so-34675427-2-1,gh-0-1-64-90,119,117,3,0
so-23365536-14-3,gh-2-1-126-159,149,151,4,2
so-23365536-14-3,gh-1-1-119-151,149,158,19,13
so-25462286-10-1,gh-4-11-73-89,97,89,19,2
so-25462286-10-1,gh-1-3-223-241,97,89,12,0
so-19982451-2-1,gh-1-1-74-135,353,358,6,5
so-19982451-2-1,gh-3-1-45-104,353,340,15,1
so-19982451-2-1,gh-0-1-113-176,353,322,122,31
so-19982451-2-1,gh-4-1-25-88,353,344,15,3
so-6011906-1-1,gh-0-1-50-84,132,132,1,0
so-4407803-1-3,gh-4-3-48-73,112,112,6,0
so-11189384-11-1,gh-1-1-326-359,187,187,0,0
so-13007325-4-2,gh-7-2-12-38,133,125,8,0
so-13007325-4-2,gh-10-1-55-86,133,123,42,9
so-13007325-4-2,gh-6-1-190-219,133,122,38,8
so-13007325-4-2,gh-0-1-84-117,133,127,27,4
so-13007325-4-2,gh-1-10-26-55,133,130,31,8
so-15612964-3-3,gh-0-1-254-374,460,579,119,119
so-2793959-1-1,gh-2-4-99-130,186,186,0,0
so-2581754-1-1,gh-1-1-82-101,127,125,7,1
so-2581754-1-1,gh-0-1-60-80,127,124,4,0
so-9435874-0-1,gh-0-1-44-105,322,352,167,89
so-28055086-1-1,gh-0-1-68-87,124,127,15,6
so-28224544-0-1,gh-1-1-117-199,754,804,163,57
so-7306536-1-1,gh-0-1-958-998,91,104,95,46
so-1269907-0-1,gh-4-1-59-102,178,185,15,7
so-1269907-0-1,gh-5-1-193-228,178,180,81,30
so-1269907-0-1,gh-2-1-399-443,178,195,49,28
so-1269907-0-1,gh-3-1-188-227,178,192,60,30
so-11189384-6-1,gh-1-1-142-165,127,127,0,0
so-453067-0-4,gh-1-1-133-160,110,124,79,43
so-453067-0-4,gh-10-1-60-85,110,116,43,21
so-453067-0-4,gh-12-1-121-141,110,107,8,0
so-453067-0-4,gh-2-1-22-53,110,136,62,40
so-5093734-0-1,gh-0-1-49-62,114,116,26,7
so-36312079-0-1,gh-0-1-27-48,131,133,2,2
so-2951193-0-1,gh-1-1-172-189,77,87,45,25
so-14989037-0-1,gh-1-2-726-752,97,116,19,19
so-3923182-3-1,gh-2-1-216-235,116,106,31,6
so-9704912-5-1,gh-0-1-33-105,404,428,132,53
so-1835577-0-2,gh-18-1-54-109,313,333,39,25
so-11042773-4-1,gh-0-1-18-35,99,99,1,0
so-16485989-0-1,gh-0-1-237-264,97,92,16,4
so-28510031-2-2,gh-5-1-68-88,130,125,8,0
so-123305-0-7,gh-13-1-94-116,125,126,36,15
so-123305-0-7,gh-4-3-620-641,125,139,16,14
so-19592492-0-7,gh-24-1-200-245,150,171,39,28
so-10872497-0-1,gh-2-1-19-43,129,120,29,4
so-10872497-0-1,gh-3-1-18-39,129,127,6,0
so-10872497-0-1,gh-0-3-13-44,129,133,21,8
so-10872497-0-1,gh-8-2-16-40,129,123,6,0
so-10872497-0-1,gh-7-1-47-73,129,130,12,4
so-13913206-1-3,gh-10-1-70-102,160,170,37,16
